Code,Expedition,State,French name,Baudin's Original name,Australian name,Aborigines name,Aborigines langage,latitude,longitude,Source coordonnées,test coordonnées,Vérifié,Caracteristiques (FR),Characteristic (EN),Origine du nom (FR),Origin of the name (EN),URL WIKI FR,URL WIKi EN,URL IMG,URL DIV,Origine du nom version initiale,détails,@
Entre11,Entrecasteaux,Tas,Pointe Labillardiere,,"Point Labillardiere in Labillardiere Peninsula, Canal d'Entrecasteaux Ile Bruny 
",,,-43.2931,147.3659,Mapcarta – Cape Queen Elizabeth,"https://www.google.com/maps?q=-43.2931,147.3659",,,,"La Billardière, botaniste et scientifique le plus distingué de l'expédition, a rédigé un compte-rendu de ses travaux sur la flore et la faune. Sa collection se composait de 22 caisses contenant des spécimens de plantes, de fleurs, d'insectes, de poissons, de reptiles, d'oiseaux, un petit kangourou et des spécimens minéralogiques. Tous ces éléments, tout comme les documents et les cartes de l'expédition, tombèrent entre les mains du gouvernement anglais. Grâce aux bons offices de Sir Joseph Banks, tout fut restitué à Rossel en 1802. La Pointe la Billardière figure sur la carte de d'Entrecasteaux.","La Billardiere, botanist, and the expedition's most distinguished scientist, wrote an account of its work on flora and fauna. His collection consisted of 22 boxes, containing specimens of plants, flowers, insects, fish, reptiles, birds, small kangaroo and mineralogical specimens, all of which, like the papers and charts of the expedition, fell into the hands of the English Government. Through the good offices of Sir Joseph Banks, all were restored to Rossel in 1802. Point la Billardiere shown on map of d'Entrecasteaux",https://fr.wikipedia.org/wiki/Jacques-Julien_Houtou_de_La_Billardi%C3%A8re,https://en.wikipedia.org/wiki/Jacques_Labillardi%C3%A8re,https://commons.wikimedia.org/wiki/Special:FilePath/Jacques_Labillardi%C3%A8re.jpg,,"La Billardière, botaniste et scientifique le plus distingué de l'expédition, a rédigé un compte-rendu de ses travaux sur la flore et la faune. Sa collection se composait de 22 caisses contenant des spécimens de plantes, de fleurs, d'insectes, de poissons, de reptiles, d'oiseaux, un petit kangourou et des spécimens minéralogiques. Tous ces éléments, tout comme les documents et les cartes de l'expédition, tombèrent entre les mains du gouvernement anglais. Grâce aux bons offices de Sir Joseph Banks, tout fut restitué à Rossel en 1802. La Pointe la Billardière figure sur la carte de D'Entrecasteaux.",,
Entre12,Entrecasteaux,Tas,La Grande anse,,"Great Taylors Bay, Canal d'Entrecasteaux Ile Bruny ",,,-43.42271,147.15259,https://mapcarta.com/16674896,"https://www.google.com/maps?q=-43.42271,147.15259",,,,,,,,,,,,
Entre13,Entrecasteaux,Tas,Ile aux Perdrix,,Partridge Island (English for perdrix) Canal d'Entrecasteaux Ile Bruny,,,-43.4,147.1,https://en.wikipedia.org/wiki/Partridge_Island_(Tasmania),"https://www.google.com/maps?q=-43.4,147.1",,,,,,,,,,,,
Entre14,Entrecasteaux,Tas,Ile Lahaye,,Hope Island,,,-43.33693,147.0423,https://en.wikipedia.org/wiki/Hope_Island_(Tasmania),"https://www.google.com/maps?q=-43.33693,147.0423",,,,,,,,,,,,
Entre15,Entrecasteaux,Tas,Port de l'Espérance,,Port Esperance Canal d'Entrecasteaux ,,,-43.3333,147.067,https://mapcarta.com/16680102,"https://www.google.com/maps?q=-43.3333,147.067",,,,,,,,,,,,
Entre16,Entrecasteaux,Tas,Ile Huon,,"Huon Island . Besides,  Huon Point has been since also named ",,,-43.28997,147.14431,https://en.wikipedia.org/wiki/Huon_Island,"https://www.google.com/maps?q=-43.28997,147.14431",,,,,,,,,,,,
Entre17,Entrecasteaux,Tas,Riviere Huon,,Huon River Canal d'Entrecasteaux Ile Bruny,,,-43.4,147.0833,https://en.wikipedia.org/wiki/Huon_River,"https://www.google.com/maps?q=-43.4,147.0833",,,,,,,,,,,,
Entre18,Entrecasteaux,Tas,Port des cygnes,,"Port Cygnet Besides, Cygnet Point had been since also named s well as Beaupre Point, on each entrance of the harbour Canal d'Entrecasteaux Ile Bruny",,,-43.1685,147.0939,https://mapcarta.com/16684854,"https://www.google.com/maps?q=-43.1685,147.0939",,,,,,,,,,,,
Entre19,Entrecasteaux,Tas,Ile du satellite,,Satellite Island ,,,-43.3167,147.2167,Placenames Tasmania (official register),"https://www.google.com/maps?q=-43.3167,147.2167",,,,,,,,,,,,
Entre20,Entrecasteaux,Tas,L'Arche,,Arch Rock (Ninepin Point Marine Nature Reserve),,,-43.28749,147.18028,Placenames Tasmania (official register),"https://www.google.com/maps?q=-43.28749,147.18028",,,,,,,,,,,,
Entre21,Entrecasteaux,Tas,La Petite Anse,,Little Taylors Bay Canal d'Entrecasteaux Ile Bruny,,,-43.35779,147.20896,Placenames Tasmania (official register),"https://www.google.com/maps?q=-43.35779,147.20896",,,,,,,,,,,,
Entre22,Entrecasteaux,Tas,Pointe Riche ,,Simpsons Point with also Simpsons bay Canal d'Entrecasteaux Ile Bruny,,,-43.24766,147.2884,Placenames Tasmania (official register),"https://www.google.com/maps?q=-43.24766,147.2884",,,,,,,,,,,,
Entre23,Entrecasteaux,Tas,Ile Bruny,,Bruny Island Canal d'Entrecasteaux Ile Bruny,,,-43.05,147.317,Tageo – North West Bay,"https://www.google.com/maps?q=-43.05,147.317",,,,,,,,,,,,
Entre24,Entrecasteaux,Tas,Baie de l'Isthme,,Isthmus Bay,,,-43.2667,147.32,Placenames Tasmania (official register),"https://www.google.com/maps?q=-43.2667,147.32",,,,,,,,,,,,
Entre25,Entrecasteaux,Tas,Ile Verte,,Green island ,,,-43.4432,147.016,Mapcarta – Rossel Point,"https://www.google.com/maps?q=-43.4432,147.016",,,,,,,,,,,,
Entre26,Entrecasteaux,Tas,Port du Nord Ouest ,,North West Bay Canal d'Entrecasteaux Ile Bruny,,,,,Placenames Tasmania (official register),https://www.google.com/maps/search/?api=1&query=North+West+Bay+Canal+d%27Entrecasteaux+Ile+Bruny+Tas+Australia,,,,,,,,,,,,
Entre27,Entrecasteaux,Tas,Pointe Le Grand,,"Kinghorne Point, Canal d'Entrecasteaux Ile Bruny",,,-43.3667,147.2833,Latitude.to – Bruny Island,"https://www.google.com/maps?q=-43.3667,147.2833",,,,,,,,,,,,
Entre28,Entrecasteaux,Tas,Pointe Ventenat,,Ventenat Point Canal d'Entrecasteaux Ile Bruny,,,-43.1833,147.2833,Latitude.to – Green Island (Tas.),"https://www.google.com/maps?q=-43.1833,147.2833",,,,,,,,,,,,
Entre29,Entrecasteaux,Tas,Cap de la Sortie,,Kellys Point and Cape de la sortie Canal d'Entrecasteaux Ile Bruny,,,-43.1664,147.2757,Mapcarta – Kinghorne Point,"https://www.google.com/maps?q=-43.1664,147.2757",,,,,,,,,,,,
Entre30,Entrecasteaux,Tas,Cap Trobriand,,Cape Queen Elizabeth Canal d'Entrecasteaux Ile Bruny,,,-43.1423,147.3118,Mapcarta – Ventenat Point,"https://www.google.com/maps?q=-43.1423,147.3118",,,,,,,,,,,,
Entre31,Entrecasteaux,Tas,Canal Dentrecasteaux,,D'Entrecasteaux channel Canal d'Entrecasteaux Ile Bruny,,,-43.217,147.283,Placenames Tasmania (official register),"https://www.google.com/maps?q=-43.217,147.283",,,,,,,,,,,,
Entre32,Entrecasteaux,Tas,Pointe Gicquel,,Snug Point Canal d'Entrecasteaux Ile Bruny,,,-43.16848,147.31992,Mapcarta – Kellys Point,"https://www.google.com/maps?q=-43.16848,147.31992",,,,,,,,,,,,
Entre33,Entrecasteaux,Tas,Pointe Pierson,,Piersons point Presqu'Ile du Nord,,,-43.05153,147.3441,Mapcarta – Piersons Point,"https://www.google.com/maps?q=-43.05153,147.3441",,,,,,,,,,,,
Entre34,Entrecasteaux,Tas,Pointe Jurien,,White Rock Point Presqu'Ile du Nord,,,-42.983,147.3986,Molluscs of Tasmania – White Rock Point,"https://www.google.com/maps?q=-42.983,147.3986",,,,,,,,,,,,
Entre35,Entrecasteaux,Tas,Rivière du Nord,,River Derwent Presqu'Ile du Nord,,,,,Placenames Tasmania (official register),https://www.google.com/maps/search/?api=1&query=River+Derwent+Presqu%27Ile+du+Nord+Tas+Australia,,,,,,,,,,,,
Entre36,Entrecasteaux,Tas,Montagne du Plateau,,Mount Wellington ? Presqu'Ile du Nord,,,-42.8967,147.2361,Wikipedia – kunanyi / Mount Wellington,"https://www.google.com/maps?q=-42.8967,147.2361",,,,,,,,,,,,
Entre37,Entrecasteaux,Tas,Pointe Laignel,,Trywork Point Presqu'Ile du Nord,,,,,Placenames Tasmania (official register),https://www.google.com/maps/search/?api=1&query=Trywork+Point+Presqu%27Ile+du+Nord+Tas+Australia,,,,,,,,,,,,
Entre38,Entrecasteaux,Tas,La Double Baie,,Ralphs Bay Presqu'Ile du Nord,,,,,Placenames Tasmania (official register),https://www.google.com/maps/search/?api=1&query=Ralphs+Bay+Presqu%27Ile+du+Nord+Tas+Australia,,,,,,,,,,,,
Entre39,Entrecasteaux,Tas,Presqu'Ile du Nord,,South Arm Presqu'Ile du Nord,,,-43.04214,147.26352,Mapcarta – Snug Point,"https://www.google.com/maps?q=-43.04214,147.26352",,,,,,,,,,,,
Entre40,Entrecasteaux,Tas,Baie du Nord,,Frederick Henry Bay Presqu'Ile du Nord,,,-43.05153,147.3441,Mapcarta – Piersons Point,"https://www.google.com/maps?q=-43.05153,147.3441",,,,,,,,,,,,
Entre41,Entrecasteaux,Tas,CapDeslacs,,Cape Deslacs Presqu'Ile du Nord,,,-42.9858667,147.5488833,Geocaching (Waymark) – Cape Deslacs,"https://www.google.com/maps?q=-42.9858667,147.5488833",,,,,,,,,,,,
Entre42,Entrecasteaux,Tas,Capdes Contrariétés,,Cape Contrariety Presqu'Ile du Nord,,,-43.01923,147.52174,Mapcarta – Cape Contrariety,"https://www.google.com/maps?q=-43.01923,147.52174",,,,,,,,,,,,
Entre43,Entrecasteaux,Tas,Ile Willaumez,,Betsey Island Presqu'Ile du Nord,,,-43.05468,147.48143,Mapcarta – Betsey Island,"https://www.google.com/maps?q=-43.05468,147.48143",,,,,,,,,,,,
Entre44,Entrecasteaux,Tas,Cap de Direction,,Cape Direction,,,-43.05035,147.41882,Mapcarta – Cape Direction,"https://www.google.com/maps?q=-43.05035,147.41882",,,,,,,,,,,,
Entre45,Entrecasteaux,Tas,Ile St Aignant,,Sloping Island Port BuachePresqu'île Tasman,,,-42.953,147.642,Tageo – Sloping Island,"https://www.google.com/maps?q=-42.953,147.642",,,,,,,,,,,,
Entre46,Entrecasteaux,Tas,Pointe Renard,,Renard Point Port BuachePresqu'île Tasman,,,-42.900003,147.683333,GeoView – Renard Point,"https://www.google.com/maps?q=-42.900003,147.683333",,,,,,,,,,,,
Entre47,Entrecasteaux,Tas,Pointe Joannet,,Whitehouse Point Port BuachePresqu'île Tasman,,,-42.94965,147.72566,Mapcarta – Whitehouse Point,"https://www.google.com/maps?q=-42.94965,147.72566",,,,,,,,,,,,
Entre48,Entrecasteaux,Tas,Cap Raoul,,Cape Raoul Port BuachePresqu'île Tasman,,,-43.2183,147.826,Wikipedia – Cape Raoul,"https://www.google.com/maps?q=-43.2183,147.826",,,,,,,,,,,,
Entre49,Entrecasteaux,Tas,Rocher d'Hippolyte,,Hippolyte Rocks Port BuachePresqu'île Tasman,,,-43.04884,147.98223,Mapcarta – Hippolyte Rocks,"https://www.google.com/maps?q=-43.04884,147.98223",,,,,,,,,,,,
Entre50,Entrecasteaux,Tas,Baie Marion,,Marion Bay,,,-42.8027,147.88144,Mapcarta – Marion Bay,"https://www.google.com/maps?q=-42.8027,147.88144",,,,,,,,,,,,
Entre51,Entrecasteaux,WA,Iles du Sud-Est,,South East Islands,,,-34.35704,123.5515,Mapcarta – South East Islands (WA),"https://www.google.com/maps?q=-34.35704,123.5515",,,,,,,,,,,,
Entre52,Entrecasteaux,WA,Cap Arride,,Cape Arid,,,,,Landgate WA Geonoma / Placenames,https://www.google.com/maps/search/?api=1&query=Cape+Arid+WA+Australia,,,,,,,,,,,,
Entre53,Entrecasteaux,WA,Ile du Milieu,,Middle island,,,-34.0936,123.2097,Wikipedia – Middle Island (Recherche Archipelago),"https://www.google.com/maps?q=-34.0936,123.2097",,,,,,,,,,,,
Entre54,Entrecasteaux,SA,Groupe de l'Est,,Eastern Group,,,-34.1437,123.37352,Mapcarta – Eastern Group (Recherche Archipelago),"https://www.google.com/maps?q=-34.1437,123.37352",,,,,,,,,,,,
Entre55,Entrecasteaux,WA,Ile du Mondrain,,Mondrain Island,,,-34.13722,122.24528,Landgate WA Geonoma / Placenames,"https://www.google.com/maps?q=-34.13722,122.24528",,,,,,,,,,,,
Entre56,Entrecasteaux,WA,Archipel de la Recherche,,Archipelago of the Recherche,,,-34.1005,123.1878,Landgate WA Geonoma / Placenames,"https://www.google.com/maps?q=-34.1005,123.1878",,,,,,,,,,,,
Entre57,Entrecasteaux,WA,Baie de l'Espérance,,Esperance Bay,,,-33.85694,121.92028,Landgate WA Geonoma / Placenames,"https://www.google.com/maps?q=-33.85694,121.92028",,,,,,,,,,,,
Entre58,Entrecasteaux,WA,Cap Le Grand,,Cape Le grand,,,-33.92,122.3158,Mapcarta – Cape Le Grand (cape),"https://www.google.com/maps?q=-33.92,122.3158",,,,,,,,,,,,
Entre59,Entrecasteaux,WA,Ile de l'Observatoire,,Observatory Island,,,-33.92417,121.79194,Landgate WA Geonoma / Placenames,"https://www.google.com/maps?q=-33.92417,121.79194",,,,,,,,,,,,
Entre60,Entrecasteaux,WA,Ile de Remarque,,Remark Island,,,-34.0667,121.9833,Landgate WA Geonoma / Placenames,"https://www.google.com/maps?q=-34.0667,121.9833",,,,,,,,,,,,
Entre61,Entrecasteaux,WA,Groupe de l'Ouest,,West group ,,,-34.0,121.833,Landgate WA Geonoma / Placenames,"https://www.google.com/maps?q=-34.0,121.833",,,,,,,,,,,,
Entre62,Entrecasteaux,WA,La Chaussée,,Causeway Channel,,,-33.96095,122.0129,Landgate WA Geonoma / Placenames,"https://www.google.com/maps?q=-33.96095,122.0129",,,,,,,,,,,,
Entre63,Entrecasteaux,WA,Cap des Basses,,Shoal Cape,,,-33.86628,121.166998,Landgate WA Geonoma / Placenames,"https://www.google.com/maps?q=-33.86628,121.166998",,,,,,,,,,,,
Entre64,Entrecasteaux,WA,l'Avant Garde,,Termination Island,,,-34.47083,121.99194,Landgate WA Geonoma / Placenames,"https://www.google.com/maps?q=-34.47083,121.99194",,,,,,,,,,,,
Entre65,Entrecasteaux,WA,Cap Riche,,Cape Riche,,,-34.608,118.75,Landgate WA Geonoma / Placenames,"https://www.google.com/maps?q=-34.608,118.75",,,,,,,,,,,,
Entre66,Entrecasteaux,WA,Ile Pelée,,Bald island,,,-34.9191861,118.4626333,Landgate WA Geonoma / Placenames,"https://www.google.com/maps?q=-34.9191861,118.4626333",,,,,,,,,,,,
Entre67,Entrecasteaux,WA,Pointe d'Entrecasteaux,,Point d'Entrecasteaux,,,-34.83819,116.00448,Landgate WA Geonoma / Placenames,"https://www.google.com/maps?q=-34.83819,116.00448",,,,,,,,,,,,
Entre68,Entrecasteaux,WA,Iles Saint-Alouarn,,Saint Alouarn Island,,,-34.40465,115.1965,Landgate WA Geonoma / Placenames,"https://www.google.com/maps?q=-34.40465,115.1965",,,,,,,,,,,,
Baudin001,Baudin,VIC,Baie Paterson,,WARATAH BAY,,,-38.85,146.067,Marine Regions – Waratah Bay,"https://www.google.com/maps?q=-38.85,146.067",,,,"Nommé d'après le savant/botaniste britannique, William Paterson. (Péron, p. 249)","Named after the British scholar/botanist, William Paterson. (Peron, p. 249)",https://fr.wikipedia.org/wiki/William_Paterson_(botaniste),https://en.wikipedia.org/wiki/William_Paterson_(explorer),https://commons.wikimedia.org/wiki/Special:FilePath/Colonel%20William%20Paterson.jpg,,"Nommé d'après le savant/botaniste britannique, William Paterson. (Péron, p. 249)",,
Baudin002,Baudin,VIC,Baie de la Venus,,Venus Bay,,,-38.702222,145.820556,Travel Victoria – Venus Bay,"https://www.google.com/maps?q=-38.702222,145.820556",,,,"Nommé d'après le navire de George Bass. (Péron, p. 250)","Named after George Bass's vessel. (Peron, p. 250)",https://fr.wikipedia.org/wiki/George_Bass,https://en.wikipedia.org/wiki/George_Bass,https://commons.wikimedia.org/wiki/Special:FilePath/George%20Bass.jpg,,"Nommé d'après le navire de George Bass. (Péron, p. 250)",,
Baudin003,Baudin,VIC,Ile des Français,,French Island ,,,-38.35,145.37,Wikipedia – French Island,"https://www.google.com/maps?q=-38.35,145.37",,,,,,,,,,,,
Baudin004,Baudin,VIC,Ile des Anglais ,,Phillip Island,,,-38.483,145.233,Wikipedia – Phillip Island,"https://www.google.com/maps?q=-38.483,145.233",,,,,,,,,,,,
Baudin005,Baudin,VIC,passe de l'Ouest,,Western Passage,,,,,,,,,,,,,,,,,,
Baudin006,Baudin,VIC,passe de l'Est,,EASTERN ENTRANCE,,,-38.543433,145.354183,Parks Victoria (NtM) – Western Port Eastern Entrance,"https://www.google.com/maps?q=-38.543433,145.354183",,,,,,,,,,,,
Baudin007,Baudin,VIC,Baie Talleyrand,Baïe du Nord,,,,,,,,,,,,,,,,,,,
Baudin008,Baudin,VIC,Cap Richelieu ,Cap Plaisant,"Cape Schanck after Captain John Schank, R.N. by Lieutenant James Grant sailing on the Lady Nelson.[5][6][7][8] Shanck had designed the raised keel (or centreboard) on the Lady Nelson",,,-38.461,144.905,Wikipedia – Cape Schanck,"https://www.google.com/maps?q=-38.461,144.905",,,,,,,,,,,,
Baudin009,Baudin,VIC,Cap Suffren ,"Cap des Représentations ""Je nommai le cap qui me parut être le plus au Sud depuis le Promontoire de Wilson, le cap des Représentations, sur (des) différends qui me furent (faits) par l’Etat Major dans ce même moment.""",Point Grey,,,-38.54748,143.98616,Mapcarta – Point Grey (Lorne),"https://www.google.com/maps?q=-38.54748,143.98616",,,,,,,,,,,,
Baudin010,Baudin,VIC,Cap Marengo,Cap Maringo,Cape Marengo ,,,-38.78708,143.66069,Mapcarta – Cape Marengo,"https://www.google.com/maps?q=-38.78708,143.66069",,,,,,,,,,,,
Baudin011,Baudin,VIC,Cap Desaix ,Cap Verd (vert),Cape Otway,,,-38.855556,143.512778,Travel Victoria – Cape Otway Lighthouse,"https://www.google.com/maps?q=-38.855556,143.512778",,,,"Louis Charles Antoine Desaix de Veygoux, né le 17 août 1768 au château d'Ayat, à Saint-Hilaire d'Ayat, (actuellement Ayat-sur-Sioule), mort le 14 juin 1800 à Marengo (Piémont), est un général français qui s'est illustré lors des guerres révolutionnaires et sous les ordres de Bonaparte, notamment en Égypte et en Italie.  Il a combattu à la bataille des Pyramides (1798), a conquis la Haute-Égypte (1798-99) et a été tué à la bataille de Marengo (1800). Son corps fut transporté au couvent du Grand-Saint-Bernard où un monument fut érigé en son honneur.","Louis Charles Antoine Desaix de Veygoux (1768-1800) was a French general who fought in the Battle of the Pyramids (1798), conquered Upper Egypt (1798-99), and was killed in the Battle of Marengo (1800); his body was transported to the convent of St. Bernard where a monument was erected.",https://fr.wikipedia.org/wiki/Louis_Charles_Antoine_Desaix,https://en.wikipedia.org/wiki/Louis_Desaix,https://commons.wikimedia.org/wiki/Special:FilePath/Portrait_desaix_guerin.jpg,,"Louis Charles Antoine Desaix de Veygoux, né le 17 août 1768 au château d'Ayat, à Saint-Hilaire d'Ayat, (actuellement Ayat-sur-Sioule), mort le 14 juin 1800 à Marengo (Piémont), est un général français qui s'est illustré lors des guerres révolutionnaires et sous les ordres de Bonaparte, notamment en Égypte et en Italie.  Il a combattu à la bataille des Pyramides (1798), a conquis la Haute-Égypte (1798-99) et a été tué à la bataille de Marengo (1800). Son corps fut transporté au couvent du Grand-Saint-Bernard où un monument fut érigé en son honneur.",,
Baudin012,Baudin,VIC,Cap Volney,"Cap Lody The Battle of Lodi Bridge, a small but dramatic engagement won by the French on
10 May 1796 between 5000 troops of Napoleon’s Army of Italy and 10 000 Austrian
troops on the wooden bridge over the Adda River at Lodi, a village 30 km south-east
of Milan",Cape Volney,,,-38.76696,143.23885,Mapcarta – Moonlight Head (aka Cape Volney),"https://www.google.com/maps?q=-38.76696,143.23885",,,,"Constantin-François Chassebœuf de La Giraudais, comte Volney, dit Volney, né le 3 février 17571 à Craon en Anjou et mort le25 avril 1820 à Paris, est un philosophe et orientaliste français. Il est considéré comme le précurseur des ethnologues, anthropologues et sociologues du xxe siècle","Constantin-François Chassebœuf de La Giraudais, comte Volney, known as Volney (3 February 1757 - 25 April 1820), was a French philosopher and orientalist. He is considered a forerunner of 20th-century ethnologists, anthropologists, and sociologists.",https://fr.wikipedia.org/wiki/Volney,"https://en.wikipedia.org/wiki/Constantin_Fran%C3%A7ois_de_Chasseb%C5%93uf,_comte_de_Volney",https://commons.wikimedia.org/wiki/Special:FilePath/AduC%20173%20Volney%20%28C.F.C.%2C%20comte%20de%2C%201757-1820%29.JPG,,"Constantin-François Chassebœuf de La Giraudais, comte Volney, dit Volney, né le 3 février 17571 à Craon en Anjou et mort le25 avril 1820 à Paris, est un philosophe et orientaliste français. Il est considéré comme le précurseur des ethnologues, anthropologues et sociologues du xxe siècle",,
Baudin013,Baudin,VIC,Cap Folard,"Cap des Falaises Toute la côte que nous prolongeâmes m’a paru inabordable et ne pas même offrir d’abri pour une embarcation. Malgré qu’elle soit divisée en plusieurs anses plus ou moins grandes qui sembleraient annoncer un débarquement facile, la mer brise tout le long du rivage. C’est ce dont nous nous sommes positivement assurés par le peu de distance que nous en étions.
 Je donnai le nom de cap des Falaises à celui qu’on rencontre le premier après avoir doublé le cap du Maréchal duquel, il se trouve éloigné de huit lieues ½. La route à faire pour s’y rendre est le Nord 23° Ouest. ",Point Ronald,,,-38.70643,143.15488,Mapcarta – Point Ronald,"https://www.google.com/maps?q=-38.70643,143.15488",,,,"Jean-Charles ou Charles de Folard, dit le Chevalier de Folard et parfois surnommé « le Végèce français », né le 13 février 1669 àAvignon où il est mort le 23 mars 1752, est un stratège, ingénieur et homme de guerre français.","Jean-Charles or Charles de Folard, known as the Chevalier de Folard and sometimes nicknamed ""the French Vegetius"" (13 February 1669 - 23 March 1752), was a French strategist, engineer, and military man.",https://fr.wikipedia.org/wiki/Jean-Charles_de_Folard,https://en.wikipedia.org/wiki/Chevalier_de_Folard,https://commons.wikimedia.org/wiki/Special:FilePath/Charles%20de%20Folard.jpg,,"Jean-Charles ou Charles de Folard, dit le Chevalier de Folard et parfois surnommé « le Végèce français », né le 13 février 1669 àAvignon où il est mort le 23 mars 1752, est un stratège, ingénieur et homme de guerre français.",,
Baudin014,Baudin,VIC,Ile Latreille,"Pointe Sans Espoir Le douze, au matin, nous nous trouvâmes dans une position fort avantageuse pour commencer, dès le lever du soleil, nos relèvements. La jolie brise qu’il faisait alors, du Nord Est au Nord Nord Est nous donnait même l’espoir de les pousser assez avant dans la journée. Mais nous fûmes trompés dans notre attente par le calme et de petites brises du Nord au Nord Ouest qui ne nous permirent pas de nous avancer bien avant et qui, même, nous éloignaient qui nous éloigne de la terre de laquelle nous étions",Broken Head,,,-38.64463,143.05806,Mapcarta – Broken Head (VIC),"https://www.google.com/maps?q=-38.64463,143.05806",,,,"Pierre André Latreille, né le 20 novembre 1762 à Brive-la-Gaillarde, mort le 6 février 1833 à Paris, est un entomologiste français.",Pierre André Latreille (20 November 1762 - 6 February 1833) was a French entomologist.,https://fr.wikipedia.org/wiki/Pierre-Andr%C3%A9_Latreille,https://en.wikipedia.org/wiki/Pierre_Andr%C3%A9_Latreille,https://commons.wikimedia.org/wiki/Special:FilePath/Pierre%20Andr%C3%A9%20Latreille.%20Wood%20engraving%20by%20%28F.%20B.%29.%20Wellcome%20V0003390.jpg,,"Pierre André Latreille, né le 20 novembre 1762 à Brive-la-Gaillarde, mort le 6 février 1833 à Paris, est un entomologiste français.",,
