Code,Nom,URL WIKI FR,URL IMG,URL VERIF,URL WIKi EN
Baudin043,Louis Marie Maximilien de Caffarelli du Falga,https://fr.wikipedia.org/wiki/Louis_Marie_Maximilien_de_Caffarelli_du_Falga,https://commons.wikimedia.org/wiki/Special:FilePath/Louis_Marie_Maximilien_de_Caffarelli_du_Falga_Caffarelli.jpg?download=1,https://commons.wikimedia.org/wiki/File:Louis_Marie_Maximilien_de_Caffarelli_du_Falga_Caffarelli.jpg,https://en.wikipedia.org/wiki/Louis-Marie-Joseph_Maximilian_Caffarelli_du_Falga
Baudin044,Claude-Louis-Hector de Villars,https://fr.wikipedia.org/wiki/Claude-Louis-Hector_de_Villars,https://commons.wikimedia.org/wiki/Special:FilePath/Drevet_after_Rigaud_-_Claude-Louis-Hector_de_Villars.jpg?download=1,https://commons.wikimedia.org/wiki/File:Drevet_after_Rigaud_-_Claude-Louis-Hector_de_Villars.jpg,https://en.wikipedia.org/wiki/Claude_Louis_Hector_de_Villars
Baudin045,Nicolas François Mollien,https://fr.wikipedia.org/wiki/Nicolas_Fran%C3%A7ois_Mollien,https://commons.wikimedia.org/wiki/Special:FilePath/Portrait_of_Nicolas_Fran%C3%A7ois%2C_Count_Mollien.jpg?download=1,"https://commons.wikimedia.org/wiki/File:Portrait_of_Nicolas_François,_Count_Mollien.jpg","https://en.wikipedia.org/wiki/Nicolas_Fran%C3%A7ois,_Count_Mollien"
Baudin046,,,,,
Baudin047,Emmanuel Crétet,https://fr.wikipedia.org/wiki/Emmanuel_Cr%C3%A9tet,https://commons.wikimedia.org/wiki/Special:FilePath/Ansiaux_-_Emmanuel_Cr%C3%A9tet%2C_comte_de_Champmol_%281747-1809%29.jpg?download=1,"https://commons.wikimedia.org/wiki/File:Ansiaux_-_Emmanuel_Crétet,_comte_de_Champmol_(1747-1809).jpg",https://en.wikipedia.org/wiki/Emmanuel_Cr%C3%A9tet
Baudin048,Emmanuel Crétet,https://fr.wikipedia.org/wiki/Emmanuel_Cr%C3%A9tet,https://commons.wikimedia.org/wiki/Special:FilePath/Ansiaux_-_Emmanuel_Cr%C3%A9tet%2C_comte_de_Champmol_%281747-1809%29.jpg?download=1,"https://commons.wikimedia.org/wiki/File:Ansiaux_-_Emmanuel_Crétet,_comte_de_Champmol_(1747-1809).jpg",https://en.wikipedia.org/wiki/Emmanuel_Cr%C3%A9tet
Baudin049,Charles-Mathieu-Isidore Decaen,https://fr.wikipedia.org/wiki/Charles-Mathieu-Isidore_Decaen,,,https://en.wikipedia.org/wiki/Charles_Mathieu_Isidore_Decaen
Baudin050,Charles-Mathieu-Isidore Decaen,https://fr.wikipedia.org/wiki/Charles-Mathieu-Isidore_Decaen,,,https://en.wikipedia.org/wiki/Charles_Mathieu_Isidore_Decaen
Baudin051,Jean-Pierre de Montalivet,https://fr.wikipedia.org/wiki/Jean-Pierre_de_Montalivet,https://commons.wikimedia.org/wiki/Special:FilePath/Velyn_-_Jean-Pierre_de_Montalivet.jpg?download=1,https://commons.wikimedia.org/wiki/File:Velyn_-_Jean-Pierre_de_Montalivet.jpg,"https://en.wikipedia.org/wiki/Jean-Pierre,_Count_of_Montalivet"
Baudin052,Joseph-François Dupleix,https://fr.wikipedia.org/wiki/Joseph-Fran%C3%A7ois_Dupleix,https://commons.wikimedia.org/wiki/Special:FilePath/Joseph_Francois_Dupleix_by_Chevalier_de_Lorimier_Guerin.jpg?download=1,https://commons.wikimedia.org/wiki/File:Joseph_Francois_Dupleix_by_Chevalier_de_Lorimier_Guerin.jpg,https://en.wikipedia.org/wiki/Joseph_Fran%C3%A7ois_Dupleix
Baudin053,Jean-Baptiste Colbert,https://fr.wikipedia.org/wiki/Jean-Baptiste_Colbert,https://commons.wikimedia.org/wiki/Special:FilePath/Portrait_of_Jean-Baptiste_Colbert_by_Robert_Nanteuil.jpg?download=1,https://commons.wikimedia.org/wiki/File:Portrait_of_Jean-Baptiste_Colbert_by_Robert_Nanteuil.jpg,https://en.wikipedia.org/wiki/Jean-Baptiste_Colbert
Baudin054,Jacques-Pierre Bourdé de La Villehuet,https://fr.wikipedia.org/wiki/Jacques-Pierre_Bourd%C3%A9_de_La_Villehuet,,,https://fr.wikipedia.org/wiki/Jacques-Pierre_Bourd%C3%A9_de_La_Villehuet
Baudin055,Joséphine de Beauharnais,https://fr.wikipedia.org/wiki/Jos%C3%A9phine_de_Beauharnais,https://commons.wikimedia.org/wiki/Special:FilePath/CIPA0653.jpg?download=1,https://commons.wikimedia.org/wiki/File:CIPA0653.jpg,https://en.wikipedia.org/wiki/Jos%C3%A9phine_de_Beauharnais
Baudin056,Jean Le Rond d'Alembert,https://fr.wikipedia.org/wiki/Jean_Le_Rond_d%27Alembert,https://commons.wikimedia.org/wiki/Special:FilePath/Jean_le_Rond_d%27Alembert._Stipple_engraving._Wellcome_V0000117.jpg?download=1,https://commons.wikimedia.org/wiki/File:Jean_le_Rond_d'Alembert._Stipple_engraving._Wellcome_V0000117.jpg,https://en.wikipedia.org/wiki/Jean_le_Rond_d%27Alembert
Baudin057,Madame de Sévigné,https://fr.wikipedia.org/wiki/Madame_de_S%C3%A9vign%C3%A9,https://commons.wikimedia.org/wiki/Special:FilePath/Marquise_de_S%C3%A9vign%C3%A9_Gallica.jpg?download=1,https://commons.wikimedia.org/wiki/File:Marquise_de_Sévigné_Gallica.jpg,"https://en.wikipedia.org/wiki/Marie_de_Rabutin-Chantal,_marquise_de_S%C3%A9vign%C3%A9"
Baudin058,Hortense de Beauharnais,https://fr.wikipedia.org/wiki/Hortense_de_Beauharnais,https://commons.wikimedia.org/wiki/Special:FilePath/Hortense_de_Beauharnais2.jpg?download=1,https://commons.wikimedia.org/wiki/File:Hortense_de_Beauharnais2.jpg,https://en.wikipedia.org/wiki/Hortense_de_Beauharnais
Baudin059,Letizia Bonaparte,https://fr.wikipedia.org/wiki/Letizia_Bonaparte,https://commons.wikimedia.org/wiki/Special:FilePath/Letizia_Bonaparte_Litho.JPG?download=1,https://commons.wikimedia.org/wiki/File:Letizia_Bonaparte_Litho.JPG,https://en.wikipedia.org/wiki/Letizia_Bonaparte
Baudin060,Colonne Vendôme,https://fr.wikipedia.org/wiki/Colonne_Vend%C3%B4me,https://commons.wikimedia.org/wiki/Special:FilePath/Colonne_Vend%C3%B4me_1855.jpg?download=1,https://commons.wikimedia.org/wiki/File:Colonne_Vendôme_1855.jpg,https://en.wikipedia.org/wiki/Vend%C3%B4me_Column
Baudin061,Charles-Pierre Claret de Fleurieu,https://fr.wikipedia.org/wiki/Charles-Pierre_Claret_de_Fleurieu,https://commons.wikimedia.org/wiki/Special:FilePath/Charles_pierre_claret_de_Fleurieu.jpg?download=1,https://commons.wikimedia.org/wiki/File:Charles_pierre_claret_de_Fleurieu.jpg,https://en.wikipedia.org/wiki/Charles_Pierre_Claret_de_Fleurieu
Baudin062,Jeanne Hachette,https://fr.wikipedia.org/wiki/Jeanne_Hachette,https://commons.wikimedia.org/wiki/Special:FilePath/Jeanne_Hachette_Dubray_2007_06_17.jpg?download=1,https://commons.wikimedia.org/wiki/File:Jeanne_Hachette_Dubray_2007_06_17.jpg,https://en.wikipedia.org/wiki/Jeanne_Hachette
Baudin063,Stéphanie de Beauharnais,https://fr.wikipedia.org/wiki/St%C3%A9phanie_de_Beauharnais,https://commons.wikimedia.org/wiki/Special:FilePath/Großherzogin_Stéphanie_de_Beauharnais.jpg?download=1,https://commons.wikimedia.org/wiki/File:Gro%C3%9Fherzogin_St%C3%A9phanie_de_Beauharnais.jpg,https://en.wikipedia.org/wiki/St%C3%A9phanie_de_Beauharnais
Baudin064,Pierre Samuel du Pont de Nemours,https://fr.wikipedia.org/wiki/Pierre_Samuel_du_Pont_de_Nemours,https://commons.wikimedia.org/wiki/Special:FilePath/Pierre_Samuel_du_Pont_de_Nemours_(1739-1817).jpg?download=1,https://commons.wikimedia.org/wiki/File:Pierre_Samuel_du_Pont_de_Nemours_(1739-1817).jpg,https://en.wikipedia.org/wiki/Pierre_Samuel_du_Pont_de_Nemours
Baudin065,Madame de La Fayette,https://fr.wikipedia.org/wiki/Madame_de_La_Fayette,"https://commons.wikimedia.org/wiki/Special:FilePath/Madame_de_Lafayette,_PA07840.jpg?download=1","https://commons.wikimedia.org/wiki/File:Madame_de_Lafayette,_PA07840.jpg",https://en.wikipedia.org/wiki/Madame_de_La_Fayette
Baudin066,Victorine de Chastenay,https://fr.wikipedia.org/wiki/Victorine_de_Chastenay,https://commons.wikimedia.org/wiki/Special:FilePath/Victorine_de_Chastenay.jpg?download=1,https://commons.wikimedia.org/wiki/File:Victorine_de_Chastenay.jpg,https://en.wikipedia.org/wiki/Victorine_de_Chastenay
Baudin067,Madeleine de Scudéry,https://fr.wikipedia.org/wiki/Madeleine_de_Scud%C3%A9ry,"https://commons.wikimedia.org/wiki/Special:FilePath/Portrait_of_Madame_de_Scudery,_engraving.jpg?download=1","https://commons.wikimedia.org/wiki/File:Portrait_of_Madame_de_Scudery,_engraving.jpg",https://en.wikipedia.org/wiki/Madeleine_de_Scud%C3%A9ry
Baudin068,,,,,
Baudin069,Antoinette Des Houlières,https://fr.wikipedia.org/wiki/Antoinette_Des_Houli%C3%A8res,"https://commons.wikimedia.org/wiki/Special:FilePath/Antoinette_du_Ligier_de_la_garde_Deshouli%C3%A8res,_PA06099.jpg?download=1","https://commons.wikimedia.org/wiki/File:Antoinette_du_Ligier_de_la_garde_Deshouli%C3%A8res,_PA06099.jpg",https://en.wikipedia.org/wiki/Antoinette_Deshouli%C3%A8res
Baudin070,,,,,
Baudin071,Dorothée de Courlande,https://fr.wikipedia.org/wiki/Doroth%C3%A9e_de_Courlande,"https://commons.wikimedia.org/wiki/Special:FilePath/Dorothea_von_Biron,_Princess_of_Courland,_Duchess_of_Sagan,_by_Fran%C3%A7ois_G%C3%A9rard.jpg?download=1","https://commons.wikimedia.org/wiki/File:Dorothea_von_Biron,_Princess_of_Courland,_Duchess_of_Sagan,_by_Fran%C3%A7ois_G%C3%A9rard.jpg",https://en.wikipedia.org/wiki/Princess_Dorothea_of_Courland
Baudin072,Françoise de Graffigny,https://fr.wikipedia.org/wiki/Fran%C3%A7oise_de_Graffigny,,,https://en.wikipedia.org/wiki/Fran%C3%A7oise_de_Graffigny
Baudin073,Julie Clary,https://fr.wikipedia.org/wiki/Julie_Clary,,,https://en.wikipedia.org/wiki/Julie_Clary
Baudin074,Augusta-Amélie de Bavière,https://fr.wikipedia.org/wiki/Augusta-Am%C3%A9lie_de_Bavi%C3%A8re,,,https://en.wikipedia.org/wiki/Princess_Augusta_of_Bavaria
Baudin075,Jeanne d'Arc,https://fr.wikipedia.org/wiki/Jeanne_d%27Arc,,,https://en.wikipedia.org/wiki/Joan_of_Arc
Baudin076,Adèle d'Osmond,https://fr.wikipedia.org/wiki/Ad%C3%A8le_d%27Osmond,,,https://en.wikipedia.org/wiki/Ad%C3%A8le_d%27Osmond
Baudin077,Anne Dacier,https://fr.wikipedia.org/wiki/Anne_Dacier,,,https://en.wikipedia.org/wiki/Anne_Dacier
Baudin078,Adélaïde de La Rochefoucauld,https://fr.wikipedia.org/wiki/Ad%C3%A9la%C3%AFde_de_La_Rochefoucauld,,,https://en.wikipedia.org/wiki/Ad%C3%A9la%C3%AFde_de_La_Rochefoucauld
Baudin079,Élisa Bonaparte,https://fr.wikipedia.org/wiki/%C3%89lisa_Bonaparte,,,https://en.wikipedia.org/wiki/Elisa_Bonaparte
Baudin080,Henri François d'Aguesseau,https://fr.wikipedia.org/wiki/Henri_Fran%C3%A7ois_d%27Aguesseau,,,https://en.wikipedia.org/wiki/Henri_Fran%C3%A7ois_d%27Aguesseau
Baudin081,Louis-Mathieu Molé,https://fr.wikipedia.org/wiki/Louis-Mathieu_Mol%C3%A9,https://commons.wikimedia.org/wiki/Special:FilePath/Comtemole.jpg?download=1,https://commons.wikimedia.org/wiki/File:Comtemole.jpg,https://en.wikipedia.org/wiki/Louis-Mathieu_Mol%C3%A9
Baudin082,Sébastien Le Prestre de Vauban,https://fr.wikipedia.org/wiki/S%C3%A9bastien_Le_Prestre_de_Vauban,,,https://en.wikipedia.org/wiki/S%C3%A9bastien_Le_Prestre_de_Vauban
Baudin083,Joseph Marie Tennet de Laubadère,https://fr.wikipedia.org/wiki/Joseph_Marie_Tennet_de_Laubad%C3%A8re,,,https://fr.wikipedia.org/wiki/Joseph_Marie_Tennet_de_Laubad%C3%A8re
Baudin084,Mornay,https://fr.wikipedia.org/wiki/Mornay,,,https://fr.wikipedia.org/wiki/Mornay
Baudin085,Louis-Alexandre Berthier,https://fr.wikipedia.org/wiki/Louis-Alexandre_Berthier,,,https://en.wikipedia.org/wiki/Louis-Alexandre_Berthier
Baudin086,Jean-Jacques-Régis de Cambacérès,https://fr.wikipedia.org/wiki/Jean-Jacques-R%C3%A9gis_de_Cambac%C3%A9r%C3%A8s,,,https://en.wikipedia.org/wiki/Jean-Jacques-R%C3%A9gis_de_Cambac%C3%A9r%C3%A8s
Baudin087,Emmerich Joseph de Dalberg,https://fr.wikipedia.org/wiki/Emmerich_Joseph_de_Dalberg,https://commons.wikimedia.org/wiki/Special:FilePath/Emmerich_von_Dalberg.jpg?download=1,https://commons.wikimedia.org/wiki/File:Emmerich_von_Dalberg.jpg,https://en.wikipedia.org/wiki/Emmerich_Joseph_de_Dalberg
Baudin088,,,,,
Baudin089,Maximilien de Béthune (duc de Sully),https://fr.wikipedia.org/wiki/Maximilien_de_B%C3%A9thune_(duc_de_Sully),"https://commons.wikimedia.org/wiki/Special:FilePath/Portrait_of_Maximilien_de_B%C3%A9thune,_Duc_de_Sully_MET_DP-14806-001.jpg?download=1","https://commons.wikimedia.org/wiki/File:Portrait_of_Maximilien_de_B%C3%A9thune,_Duc_de_Sully_MET_DP-14806-001.jpg","https://en.wikipedia.org/wiki/Maximilien_de_B%C3%A9thune,_Duke_of_Sully"
Baudin090,Bertrand du Guesclin,https://fr.wikipedia.org/wiki/Bertrand_du_Guesclin,https://commons.wikimedia.org/wiki/Special:FilePath/Engraving_of_Bertrand_Du_Guesclin.jpg?download=1,https://commons.wikimedia.org/wiki/File:Engraving_of_Bertrand_Du_Guesclin.jpg,https://en.wikipedia.org/wiki/Bertrand_du_Guesclin
Baudin091,Jacques François Dugommier,https://fr.wikipedia.org/wiki/Jacques_Fran%C3%A7ois_Dugommier,,,https://en.wikipedia.org/wiki/Jacques_Fran%C3%A7ois_Dugommier
Baudin092,Bataille de Mondovi (1796),https://fr.wikipedia.org/wiki/Bataille_de_Mondovi_(1796),https://commons.wikimedia.org/wiki/Special:FilePath/Thomas_Charles_Naudet_-_Bataille_de_Mondovi_gagn%C3%A9e_par_l%27arm%C3%A9e_fran%C3%A7aise.jpg?download=1,https://commons.wikimedia.org/wiki/File:Thomas_Charles_Naudet_-_Bataille_de_Mondovi_gagn%C3%A9e_par_l%27arm%C3%A9e_fran%C3%A7aise.jpg,https://en.wikipedia.org/wiki/Battle_of_Mondov%C3%AC
Baudin093,Blaise Pascal,https://fr.wikipedia.org/wiki/Blaise_Pascal,https://commons.wikimedia.org/wiki/Special:FilePath/Blaise_Pascal._Stipple_engraving_by_H._Meyer_after_F._Quesnel_Wellcome_V0004514.jpg?download=1,https://commons.wikimedia.org/wiki/File:Blaise_Pascal._Stipple_engraving_by_H._Meyer_after_F._Quesnel_Wellcome_V0004514.jpg,https://en.wikipedia.org/wiki/Blaise_Pascal
Baudin094,Nicolas de Condorcet,https://fr.wikipedia.org/wiki/Nicolas_de_Condorcet,"https://commons.wikimedia.org/wiki/Special:FilePath/Portret_van_Nicolas_de_Condorcet,_RP-P-OB-53.253.jpg?download=1","https://commons.wikimedia.org/wiki/File:Portret_van_Nicolas_de_Condorcet,_RP-P-OB-53.253.jpg",https://en.wikipedia.org/wiki/Nicolas_de_Condorcet
Baudin095,Pierre Laurent Buirette de Belloy,https://fr.wikipedia.org/wiki/Pierre_Laurent_Buirette_de_Belloy,https://commons.wikimedia.org/wiki/Special:FilePath/Pierre-Laurent_de_Belloy.jpg?download=1,https://commons.wikimedia.org/wiki/File:Pierre-Laurent_de_Belloy.jpg,https://en.wikipedia.org/wiki/Dormont_de_Belloy
Baudin096,Vincent de Paul,https://fr.wikipedia.org/wiki/Vincent_de_Paul,https://commons.wikimedia.org/wiki/Special:FilePath/Saint_Vincent_de_Paul._Line_engraving_by_Pigeot._Wellcome_V0006049.jpg?download=1,https://commons.wikimedia.org/wiki/File:Saint_Vincent_de_Paul._Line_engraving_by_Pigeot._Wellcome_V0006049.jpg,https://en.wikipedia.org/wiki/Vincent_de_Paul
Baudin097,Esprit Fléchier,https://fr.wikipedia.org/wiki/Esprit_Fl%C3%A9chier,,,https://en.wikipedia.org/wiki/Esprit_Fl%C3%A9chier
Baudin098,Fénelon,https://fr.wikipedia.org/wiki/F%C3%A9nelon,,,https://en.wikipedia.org/wiki/F%C3%A9nelon
Baudin099,Jacques-Bénigne Bossuet,https://fr.wikipedia.org/wiki/Jacques-B%C3%A9nigne_Bossuet,,,https://en.wikipedia.org/wiki/Jacques-B%C3%A9nigne_Bossuet
Baudin100,Henri de La Tour d'Auvergne (vicomte de Turenne),https://fr.wikipedia.org/wiki/Henri_de_La_Tour_d%27Auvergne_(vicomte_de_Turenne),,,"https://en.wikipedia.org/wiki/Henri_de_La_Tour_d%27Auvergne,_Vicomte_de_Turenne"
Baudin101,Pierre Terrail de Bayard,https://fr.wikipedia.org/wiki/Pierre_Terrail_de_Bayard,,,"https://en.wikipedia.org/wiki/Pierre_Terrail,_seigneur_de_Bayard"
Baudin102,Jean-Baptiste Bernadotte,https://fr.wikipedia.org/wiki/Jean-Baptiste_Bernadotte,,,https://en.wikipedia.org/wiki/Charles_XIV_John
Baudin103,Jean Racine,https://fr.wikipedia.org/wiki/Jean_Racine,,,https://en.wikipedia.org/wiki/Jean_Racine
Baudin104,Voltaire,https://fr.wikipedia.org/wiki/Voltaire,,,https://en.wikipedia.org/wiki/Voltaire
Baudin105,Jacques Delille,https://fr.wikipedia.org/wiki/Jacques_Delille,,,https://en.wikipedia.org/wiki/Jacques_Delille
Baudin106,Jean de La Fontaine,https://fr.wikipedia.org/wiki/Jean_de_La_Fontaine,,,https://en.wikipedia.org/wiki/Jean_de_La_Fontaine
Baudin107,Pierre Corneille,https://fr.wikipedia.org/wiki/Pierre_Corneille,,,https://en.wikipedia.org/wiki/Pierre_Corneille
Baudin108,Molière,https://fr.wikipedia.org/wiki/Moli%C3%A8re,,,https://en.wikipedia.org/wiki/Moli%C3%A8re
Baudin109,Prosper Jolyot de Crébillon,https://fr.wikipedia.org/wiki/Prosper_Jolyot_de_Cr%C3%A9billon,,,https://en.wikipedia.org/wiki/Prosper_Jolyot_de_Cr%C3%A9billon
Baudin110,Guillaume Amfrye de Chaulieu,https://fr.wikipedia.org/wiki/Guillaume_Amfrye_de_Chaulieu,,,https://en.wikipedia.org/wiki/Guillaume_Amfrye_de_Chaulieu
Baudin111,,,,,
Baudin112,Jacques Amyot (évêque),https://fr.wikipedia.org/wiki/Jacques_Amyot_(%C3%A9v%C3%AAque),,,https://en.wikipedia.org/wiki/Jacques_Amyot
Baudin113,Charles Rollin,https://fr.wikipedia.org/wiki/Charles_Rollin,,,https://en.wikipedia.org/wiki/Charles_Rollin
Baudin114,Étienne Bonnot de Condillac,https://fr.wikipedia.org/wiki/%C3%89tienne_Bonnot_de_Condillac,,,https://en.wikipedia.org/wiki/%C3%89tienne_Bonnot_de_Condillac
Baudin115,Volney,https://fr.wikipedia.org/wiki/Volney,,,"https://en.wikipedia.org/wiki/Constantin_Fran%C3%A7ois_de_Chasseb%C5%93uf,_comte_de_Volney"
Baudin116,Gabriel Bonnot de Mably,https://fr.wikipedia.org/wiki/Gabriel_Bonnot_de_Mably,,,https://en.wikipedia.org/wiki/Gabriel_Bonnot_de_Mably
Baudin117,Déodat Gratet de Dolomieu,https://fr.wikipedia.org/wiki/D%C3%A9odat_Gratet_de_Dolomieu,,,https://en.wikipedia.org/wiki/D%C3%A9odat_Gratet_de_Dolomieu
Baudin118,Horace-Bénédict de Saussure,https://fr.wikipedia.org/wiki/Horace-B%C3%A9n%C3%A9dict_de_Saussure,,,https://en.wikipedia.org/wiki/Horace-B%C3%A9n%C3%A9dict_de_Saussure
Baudin119,Guillaume François Antoine de L'Hôpital,https://fr.wikipedia.org/wiki/Guillaume_Fran%C3%A7ois_Antoine_de_L%27H%C3%B4pital,,,https://en.wikipedia.org/wiki/Guillaume_de_l%27H%C3%B4pital
Baudin120,Louis de Fontanes,https://fr.wikipedia.org/wiki/Louis_de_Fontanes,,,https://en.wikipedia.org/wiki/Louis-Marcelin_de_Fontanes
Baudin121,Jean-Étienne-Marie Portalis,https://fr.wikipedia.org/wiki/Jean-%C3%89tienne-Marie_Portalis,,,https://en.wikipedia.org/wiki/Jean-%C3%89tienne-Marie_Portalis
Baudin122,Adrien-Marie Legendre,https://fr.wikipedia.org/wiki/Adrien-Marie_Legendre,,,https://en.wikipedia.org/wiki/Adrien-Marie_Legendre
Baudin123,Pierre Méchain,https://fr.wikipedia.org/wiki/Pierre_M%C3%A9chain,,,https://en.wikipedia.org/wiki/Pierre_M%C3%A9chain
Baudin124,Pierre-Simon de Laplace,https://fr.wikipedia.org/wiki/Pierre-Simon_de_Laplace,,,https://en.wikipedia.org/wiki/Pierre-Simon_Laplace
Baudin125,Nicolas-Louis de Lacaille,https://fr.wikipedia.org/wiki/Nicolas-Louis_de_Lacaille,,,https://en.wikipedia.org/wiki/Nicolas-Louis_de_Lacaille
Baudin126,René Descartes,https://fr.wikipedia.org/wiki/Ren%C3%A9_Descartes,,,https://en.wikipedia.org/wiki/Ren%C3%A9_Descartes
Baudin127,Jean Le Rond d'Alembert,https://fr.wikipedia.org/wiki/Jean_Le_Rond_d%27Alembert,,,https://en.wikipedia.org/wiki/Jean_le_Rond_d%27Alembert
Baudin128,Leonhard Euler,https://fr.wikipedia.org/wiki/Leonhard_Euler,,,https://en.wikipedia.org/wiki/Leonhard_Euler
Baudin129,Jérôme Lalande,https://fr.wikipedia.org/wiki/J%C3%A9r%C3%B4me_Lalande,,,https://en.wikipedia.org/wiki/J%C3%A9r%C3%B4me_Lalande
Baudin130,André Masséna,https://fr.wikipedia.org/wiki/Andr%C3%A9_Mass%C3%A9na,,,https://en.wikipedia.org/wiki/Andr%C3%A9_Mass%C3%A9na
Baudin131,Bataille de Rovereto,https://fr.wikipedia.org/wiki/Bataille_de_Rovereto,,,https://en.wikipedia.org/wiki/Battle_of_Rovereto
Baudin132,François-Séverin Marceau,https://fr.wikipedia.org/wiki/Fran%C3%A7ois-S%C3%A9verin_Marceau,,,https://en.wikipedia.org/wiki/Fran%C3%A7ois_S%C3%A9verin_Marceau-Desgraviers
